year,abortions
1970,87530
1971,268573
1972,299891
1973,212700
1974,168960
1975,170690
1976,170900
1977,185580
1978,187050
1979,183190
1980,187460
1981,187610
1982,182700
1983,154712
1984,192020
1985,195120
1986,151853
1987,184420
1988,183980
1989,150001
1990,159098
1991,190410
1992,195390
1993,157891
1994,149598
1995,176420
1996,167600
1997,145334
1998,139646
1999,137234
2000,164630
2001,127102
2002,127983
2003,124957
2004,126002
2005,155960
2006,127437
2007,148990
2008,153110
2009,119996
2010,142790
2011,138370
2012,104370
2013,119170
2014,119940
2015,93096
2016,110840
2017,105380
