"Year","Abortions","Total_Crimes","Population","Crime_Rate"
1970,87530,,18266034,
1971,268573,,18364991,
1972,299891,,18351888,
1973,212700,,18194899,
1974,168960,,18072890,
1975,170690,,18032337,
1976,170900,,17974781,
1977,185580,,17851561,
1978,187050,,17720503,
1979,183190,,17633759,
1980,187460,,17562270,
1981,187610,,17567731,
1982,182700,,17589737,
1983,154712,,17686907,
1984,192020,,17745676,
1985,195120,,17791678,
1986,151853,,17833421,
1987,184420,,17868844,
1988,183980,,17941309,
1989,150001,,17983084,
1990,159098,1170083,18005781,6498.37404997873
1991,190410,1181119,18122510,6517.41397852726
1992,195390,1163971,18246653,6379.09319588639
1993,157891,1131442,18374954,6157.5228977444
1994,149598,1169923,18459470,6337.79301355889
1995,176420,1171390,18524104,6323.59870145406
1996,167600,1183142,18588460,6364.92748726898
1997,145334,1195005,18656546,6405.28530843812
1998,139646,1146214,18755906,6111.216381656
1999,137234,1119953,18882725,5931.09839813904
2000,164630,1121564,18989403,5906.26256128221
2001,127102,1124659,19082838,5893.56258225323
2002,127983,1085421,19137800,5671.60802182069
2003,124957,1071978,19175939,5590.22429097214
2004,126002,1090923,19171567,5690.31733295458
2005,155960,1100273,19132610,5750.77315640678
2006,127437,1126136,19104631,5894.57079804368
2007,148990,1101281,19132335,5756.12438314508
2008,153110,1131505,19212436,5889.44056859838
2009,119996,1113985,19307066,5769.8305894847
2010,142790,1101353,19389011,5680.29488456116
2011,138370,1093560,19499241,5608.21828911187
2012,104370,1086978,19572932,5553.47558556889
2013,119170,1080123,19624447,5503.9665576309
2014,119940,1114597,19651049,5671.94657140186
2015,93096,1092790,19654666,5559.952023606
2016,110840,1091249,19633428,5558.11751264221
2017,105380,1056270,19589572,5392.00141789724
2018,,1019242,19530351,5218.75925322592
2019,,,19453561,
